,precision,recall,f1-score,support
Tomato___Bacterial_spot,0.13978494623655913,0.15294117647058825,0.14606741573033707,85.0
Tomato___Early_blight,0.09859154929577464,0.07291666666666667,0.08383233532934131,96.0
Tomato___Late_blight,0.08450704225352113,0.06521739130434782,0.0736196319018405,92.0
Tomato___Leaf_Mold,0.08602150537634409,0.0851063829787234,0.0855614973262032,94.0
Tomato___Septoria_leaf_spot,0.11428571428571428,0.09195402298850575,0.10191082802547771,87.0
Tomato___Spider_mites Two-spotted_spider_mite,0.08333333333333333,0.10344827586206896,0.09230769230769231,87.0
Tomato___Target_Spot,0.13157894736842105,0.10989010989010989,0.11976047904191617,91.0
Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.10810810810810811,0.12244897959183673,0.11483253588516747,98.0
Tomato___Tomato_mosaic_virus,0.08264462809917356,0.11235955056179775,0.09523809523809523,89.0
Tomato___healthy,0.0297029702970297,0.03125,0.030456852791878174,96.0
accuracy,0.09398907103825137,0.09398907103825137,0.09398907103825137,0.09398907103825137
macro avg,0.0958558744653979,0.09475325563146453,0.0943587363577949,915.0
weighted avg,0.09527341153281042,0.09398907103825137,0.09369210178697836,915.0
